,TRIAL_ID,LATITUDE,LONGITUDE,LOCATION,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Study Documents,URL,AGE_LOWER,AGE_UPPER
10,6,26.5450001,117.842778,"Department of Neurology, First Affiliated Hospital of Fujian Medical University, Fuzhou, Fujian, China",7.0,NCT04008329,A Registered Cohort Study on Amyotrophic Lateral Sclerosis,,Recruiting,No Results Available,Amyotrophic Lateral Sclerosis,,Age at death|Age of endotracheal intubation or tracheotomy,First Affiliated Hospital of Fujian Medical University,All,,2000.0,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,"MRCTA,ECFAH of FMU [2019]191","July 5, 2019",July 2029,July 2059,"July 4, 2019",,"July 9, 2019",,https://ClinicalTrials.gov/show/NCT04008329,18.0,100.0
11,7,51.5073219,-0.1276474,"GSK Investigational Site, London, United Kingdom",8.0,NCT02447952,Exploratory Study of Biotelemetry in Amyotrophic Lateral Sclerosis,,Completed,Has Results,Amyotrophic Lateral Sclerosis,Device: Faros Sensor (FS) and LifeInsight Hub|Device: Fast Fix electrode patch|Procedure: Quantitative Measure of Speech (Core Phase Only),Duration of Day Time Wear Time of the Device,GlaxoSmithKline,All,Not Applicable,25.0,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other,201283,"June 30, 2015","June 1, 2017","June 1, 2017","May 19, 2015","December 25, 2018","December 25, 2018","""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/52/NCT02447952/SAP_000.pdf|""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/52/NCT02447952/Prot_001.pdf",https://ClinicalTrials.gov/show/NCT02447952,18.0,80.0
12,7,51.7520131,-1.2578499,"GSK Investigational Site, Oxford, United Kingdom",8.0,NCT02447952,Exploratory Study of Biotelemetry in Amyotrophic Lateral Sclerosis,,Completed,Has Results,Amyotrophic Lateral Sclerosis,Device: Faros Sensor (FS) and LifeInsight Hub|Device: Fast Fix electrode patch|Procedure: Quantitative Measure of Speech (Core Phase Only),Duration of Day Time Wear Time of the Device,GlaxoSmithKline,All,Not Applicable,25.0,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other,201283,"June 30, 2015","June 1, 2017","June 1, 2017","May 19, 2015","December 25, 2018","December 25, 2018","""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/52/NCT02447952/SAP_000.pdf|""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/52/NCT02447952/Prot_001.pdf",https://ClinicalTrials.gov/show/NCT02447952,18.0,80.0
13,8,49.1828008,-0.3690815,"University Hospital Center, Caen, France",9.0,NCT01530438,Study of Cognitive and Emotional Disorders in Amyotrophic Lateral Sclerosis,SLAMEM,Unknown status,No Results Available,Amyotrophic Lateral Sclerosis,Other: MRI + 18FDG-PET + neuropsychological assessments ; 18FDG performed especially for the research,"Cognitive, behavioural and emotional changes assesed with Neuropsychological tests.|brain imaging (anatomical MRI, functional MRI, PET using 18FDG)","University Hospital, Caen",All,Not Applicable,90.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label),08-067,April 2009,December 2014,May 2015,"February 10, 2012",,"April 9, 2014",,https://ClinicalTrials.gov/show/NCT01530438,18.0,80.0
14,8,49.4404591,1.0939658,"University Hospital Center, Rouen, France",9.0,NCT01530438,Study of Cognitive and Emotional Disorders in Amyotrophic Lateral Sclerosis,SLAMEM,Unknown status,No Results Available,Amyotrophic Lateral Sclerosis,Other: MRI + 18FDG-PET + neuropsychological assessments ; 18FDG performed especially for the research,"Cognitive, behavioural and emotional changes assesed with Neuropsychological tests.|brain imaging (anatomical MRI, functional MRI, PET using 18FDG)","University Hospital, Caen",All,Not Applicable,90.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label),08-067,April 2009,December 2014,May 2015,"February 10, 2012",,"April 9, 2014",,https://ClinicalTrials.gov/show/NCT01530438,18.0,80.0
15,9,23.6990775,120.5245511,"China Medical University Beigang Hospital, Beigang, Yunlin, Taiwan",10.0,NCT02383654,Compassionate Treatment : An Exploratory Clinical Trial to Assess Treatment of Amyotrophic Lateral Sclerosis,,Completed,No Results Available,Amyotrophic Lateral Sclerosis,Procedure: Autologous Adipose-Tissue Derived Stem Cells,changes of ALS-FRS score|changes of respiratory function|changes of neurologic function|changes of brain structure,China Medical University Hospital,Male,Phase 1,1.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CMUH103-REC2-072,January 2015,January 2016,January 2016,"March 9, 2015",,"February 1, 2016",,https://ClinicalTrials.gov/show/NCT02383654,35.0,50.0
16,10,50.0469432,19.9971534358367,"Jagiellonian University Medical College, Department of Neurology, Kraków, Poland",11.0,NCT03892382,Repetitive Transcranial Magnetic Stimulation as Therapy for Apathy in Amyotrophic Lateral Sclerosis,,Not yet recruiting,No Results Available,Amyotrophic Lateral Sclerosis,Device: rTMS,"Apathy Evaluation Scale Clinical Version after rTMS, total score, range 18 to 72 with higher values representing a worse outcome|Apathy Evaluation Scale Clinical Version first follow up, total score, range 18 to 72 with higher values representing a worse outcome|Apathy Evaluation Scale Clinical Version second follow up, total score, range 18 to 72 with higher values representing a worse outcome|Lateral Sclerosis Functional Rating Scale-Revised after rTMS, total score, range 0 to 40 with higher values representing a better outcome|Lateral Sclerosis Functional Rating Scale-Revised first follow up, total score, range 0 to 40 with higher values representing a better outcome|Lateral Sclerosis Functional Rating Scale-Revised second follow up, total score, range 0 to 40 with higher values representing a better outcome|Beck's Depression Inventory ater rTMS, total score, range 0 to 63, with higher values representing a worse outcome|Beck's Depression Inventory first follow up, total score, range 0 to 63, with higher values representing a worse outcome|Beck's Depression Inventory second follow up, total score, range 0 to 63, with higher values representing a worse outcome",Jagiellonian University,All,Not Applicable,40.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",JagiellonianU62,"November 15, 2019","June 30, 2021","December 31, 2021","March 27, 2019",,"August 8, 2019",,https://ClinicalTrials.gov/show/NCT03892382,18.0,80.0
17,11,41.1257843,16.8620293,"Centro Sla, University of Bari, Bari, Italy",12.0,NCT03693781,Colchicine for Amyotrophic Lateral Sclerosis,Co-ALS,Not yet recruiting,No Results Available,Amyotrophic Lateral Sclerosis,Drug: Colchicine 1 MG Oral Tablet|Drug: Placebo Oral Tablet,"Decrease in ALS disease progression as measured by ALS Functional rating Scale Revised (ALSFRS-R)|Incidence of Treatment-Emergent Adverse Events (safety and tolerability)|Tracheostomy-free survival rate|Changes in Forced Vital Capacity (FVC)|Changes in quality of life|enhancement of autophagy|changes in stress granules size, number and composition|quantification of insoluble species|modifications on extracellular vesicles secretion in blood and CSF|effects on biomarkers of neurodegeneration|effects on biomarkers of inflammation","Azienda Ospedaliero-Universitaria di Modena|University of Modena and Reggio Emilia|University of Turin, Italy|Istituto Auxologico Italiano|IRCCS National Neurological Institute ""C. Mondino"" Foundation|University of Bari|IRCCS San Raffaele|University of Padova|University of Milan|Istituto Di Ricerche Farmacologiche Mario Negri|University of Campania ""Luigi Vanvitelli""|Catholic University of the Sacred Heart",All,Phase 2,54.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",Co-ALS,"January 30, 2019","November 1, 2020","November 1, 2020","October 3, 2018",,"January 14, 2019",,https://ClinicalTrials.gov/show/NCT03693781,18.0,80.0
18,11,45.4667971,9.1904984,"Centro Sla, Istituto Auxologico Italiano, University of Milano, Milano, Milano, Italy",12.0,NCT03693781,Colchicine for Amyotrophic Lateral Sclerosis,Co-ALS,Not yet recruiting,No Results Available,Amyotrophic Lateral Sclerosis,Drug: Colchicine 1 MG Oral Tablet|Drug: Placebo Oral Tablet,"Decrease in ALS disease progression as measured by ALS Functional rating Scale Revised (ALSFRS-R)|Incidence of Treatment-Emergent Adverse Events (safety and tolerability)|Tracheostomy-free survival rate|Changes in Forced Vital Capacity (FVC)|Changes in quality of life|enhancement of autophagy|changes in stress granules size, number and composition|quantification of insoluble species|modifications on extracellular vesicles secretion in blood and CSF|effects on biomarkers of neurodegeneration|effects on biomarkers of inflammation","Azienda Ospedaliero-Universitaria di Modena|University of Modena and Reggio Emilia|University of Turin, Italy|Istituto Auxologico Italiano|IRCCS National Neurological Institute ""C. Mondino"" Foundation|University of Bari|IRCCS San Raffaele|University of Padova|University of Milan|Istituto Di Ricerche Farmacologiche Mario Negri|University of Campania ""Luigi Vanvitelli""|Catholic University of the Sacred Heart",All,Phase 2,54.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",Co-ALS,"January 30, 2019","November 1, 2020","November 1, 2020","October 3, 2018",,"January 14, 2019",,https://ClinicalTrials.gov/show/NCT03693781,18.0,80.0
19,11,45.4667971,9.1904984,"Irccs St. Raffaele Institute of Milano, Milano, Italy",12.0,NCT03693781,Colchicine for Amyotrophic Lateral Sclerosis,Co-ALS,Not yet recruiting,No Results Available,Amyotrophic Lateral Sclerosis,Drug: Colchicine 1 MG Oral Tablet|Drug: Placebo Oral Tablet,"Decrease in ALS disease progression as measured by ALS Functional rating Scale Revised (ALSFRS-R)|Incidence of Treatment-Emergent Adverse Events (safety and tolerability)|Tracheostomy-free survival rate|Changes in Forced Vital Capacity (FVC)|Changes in quality of life|enhancement of autophagy|changes in stress granules size, number and composition|quantification of insoluble species|modifications on extracellular vesicles secretion in blood and CSF|effects on biomarkers of neurodegeneration|effects on biomarkers of inflammation","Azienda Ospedaliero-Universitaria di Modena|University of Modena and Reggio Emilia|University of Turin, Italy|Istituto Auxologico Italiano|IRCCS National Neurological Institute ""C. Mondino"" Foundation|University of Bari|IRCCS San Raffaele|University of Padova|University of Milan|Istituto Di Ricerche Farmacologiche Mario Negri|University of Campania ""Luigi Vanvitelli""|Catholic University of the Sacred Heart",All,Phase 2,54.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",Co-ALS,"January 30, 2019","November 1, 2020","November 1, 2020","October 3, 2018",,"January 14, 2019",,https://ClinicalTrials.gov/show/NCT03693781,18.0,80.0
20,11,44.6458885,10.9255707,"Centro Sla, Ospedale Civile S. Agostino Estense, A.O.U. Modena, Modena, Italy",12.0,NCT03693781,Colchicine for Amyotrophic Lateral Sclerosis,Co-ALS,Not yet recruiting,No Results Available,Amyotrophic Lateral Sclerosis,Drug: Colchicine 1 MG Oral Tablet|Drug: Placebo Oral Tablet,"Decrease in ALS disease progression as measured by ALS Functional rating Scale Revised (ALSFRS-R)|Incidence of Treatment-Emergent Adverse Events (safety and tolerability)|Tracheostomy-free survival rate|Changes in Forced Vital Capacity (FVC)|Changes in quality of life|enhancement of autophagy|changes in stress granules size, number and composition|quantification of insoluble species|modifications on extracellular vesicles secretion in blood and CSF|effects on biomarkers of neurodegeneration|effects on biomarkers of inflammation","Azienda Ospedaliero-Universitaria di Modena|University of Modena and Reggio Emilia|University of Turin, Italy|Istituto Auxologico Italiano|IRCCS National Neurological Institute ""C. Mondino"" Foundation|University of Bari|IRCCS San Raffaele|University of Padova|University of Milan|Istituto Di Ricerche Farmacologiche Mario Negri|University of Campania ""Luigi Vanvitelli""|Catholic University of the Sacred Heart",All,Phase 2,54.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",Co-ALS,"January 30, 2019","November 1, 2020","November 1, 2020","October 3, 2018",,"January 14, 2019",,https://ClinicalTrials.gov/show/NCT03693781,18.0,80.0
21,11,40.8359336,14.2487826,"Università della Campania Gianluigi Vanvitelli, Napoli, Italy",12.0,NCT03693781,Colchicine for Amyotrophic Lateral Sclerosis,Co-ALS,Not yet recruiting,No Results Available,Amyotrophic Lateral Sclerosis,Drug: Colchicine 1 MG Oral Tablet|Drug: Placebo Oral Tablet,"Decrease in ALS disease progression as measured by ALS Functional rating Scale Revised (ALSFRS-R)|Incidence of Treatment-Emergent Adverse Events (safety and tolerability)|Tracheostomy-free survival rate|Changes in Forced Vital Capacity (FVC)|Changes in quality of life|enhancement of autophagy|changes in stress granules size, number and composition|quantification of insoluble species|modifications on extracellular vesicles secretion in blood and CSF|effects on biomarkers of neurodegeneration|effects on biomarkers of inflammation","Azienda Ospedaliero-Universitaria di Modena|University of Modena and Reggio Emilia|University of Turin, Italy|Istituto Auxologico Italiano|IRCCS National Neurological Institute ""C. Mondino"" Foundation|University of Bari|IRCCS San Raffaele|University of Padova|University of Milan|Istituto Di Ricerche Farmacologiche Mario Negri|University of Campania ""Luigi Vanvitelli""|Catholic University of the Sacred Heart",All,Phase 2,54.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",Co-ALS,"January 30, 2019","November 1, 2020","November 1, 2020","October 3, 2018",,"January 14, 2019",,https://ClinicalTrials.gov/show/NCT03693781,18.0,80.0
22,11,45.4077172,11.8734455,"Centro Sla, Universita' Di Padova, Padova, Italy",12.0,NCT03693781,Colchicine for Amyotrophic Lateral Sclerosis,Co-ALS,Not yet recruiting,No Results Available,Amyotrophic Lateral Sclerosis,Drug: Colchicine 1 MG Oral Tablet|Drug: Placebo Oral Tablet,"Decrease in ALS disease progression as measured by ALS Functional rating Scale Revised (ALSFRS-R)|Incidence of Treatment-Emergent Adverse Events (safety and tolerability)|Tracheostomy-free survival rate|Changes in Forced Vital Capacity (FVC)|Changes in quality of life|enhancement of autophagy|changes in stress granules size, number and composition|quantification of insoluble species|modifications on extracellular vesicles secretion in blood and CSF|effects on biomarkers of neurodegeneration|effects on biomarkers of inflammation","Azienda Ospedaliero-Universitaria di Modena|University of Modena and Reggio Emilia|University of Turin, Italy|Istituto Auxologico Italiano|IRCCS National Neurological Institute ""C. Mondino"" Foundation|University of Bari|IRCCS San Raffaele|University of Padova|University of Milan|Istituto Di Ricerche Farmacologiche Mario Negri|University of Campania ""Luigi Vanvitelli""|Catholic University of the Sacred Heart",All,Phase 2,54.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",Co-ALS,"January 30, 2019","November 1, 2020","November 1, 2020","October 3, 2018",,"January 14, 2019",,https://ClinicalTrials.gov/show/NCT03693781,18.0,80.0
23,11,45.1860043,9.1546375,"Als Centre, ""C. Mondino"" National Neurological Institute, University of Pavia, Pavia, Italy",12.0,NCT03693781,Colchicine for Amyotrophic Lateral Sclerosis,Co-ALS,Not yet recruiting,No Results Available,Amyotrophic Lateral Sclerosis,Drug: Colchicine 1 MG Oral Tablet|Drug: Placebo Oral Tablet,"Decrease in ALS disease progression as measured by ALS Functional rating Scale Revised (ALSFRS-R)|Incidence of Treatment-Emergent Adverse Events (safety and tolerability)|Tracheostomy-free survival rate|Changes in Forced Vital Capacity (FVC)|Changes in quality of life|enhancement of autophagy|changes in stress granules size, number and composition|quantification of insoluble species|modifications on extracellular vesicles secretion in blood and CSF|effects on biomarkers of neurodegeneration|effects on biomarkers of inflammation","Azienda Ospedaliero-Universitaria di Modena|University of Modena and Reggio Emilia|University of Turin, Italy|Istituto Auxologico Italiano|IRCCS National Neurological Institute ""C. Mondino"" Foundation|University of Bari|IRCCS San Raffaele|University of Padova|University of Milan|Istituto Di Ricerche Farmacologiche Mario Negri|University of Campania ""Luigi Vanvitelli""|Catholic University of the Sacred Heart",All,Phase 2,54.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",Co-ALS,"January 30, 2019","November 1, 2020","November 1, 2020","October 3, 2018",,"January 14, 2019",,https://ClinicalTrials.gov/show/NCT03693781,18.0,80.0
24,11,41.894802,12.4853384,", Neuromuscular Omnicentre Centre, Rome, Catholic University, Rome, Roma, Italy",12.0,NCT03693781,Colchicine for Amyotrophic Lateral Sclerosis,Co-ALS,Not yet recruiting,No Results Available,Amyotrophic Lateral Sclerosis,Drug: Colchicine 1 MG Oral Tablet|Drug: Placebo Oral Tablet,"Decrease in ALS disease progression as measured by ALS Functional rating Scale Revised (ALSFRS-R)|Incidence of Treatment-Emergent Adverse Events (safety and tolerability)|Tracheostomy-free survival rate|Changes in Forced Vital Capacity (FVC)|Changes in quality of life|enhancement of autophagy|changes in stress granules size, number and composition|quantification of insoluble species|modifications on extracellular vesicles secretion in blood and CSF|effects on biomarkers of neurodegeneration|effects on biomarkers of inflammation","Azienda Ospedaliero-Universitaria di Modena|University of Modena and Reggio Emilia|University of Turin, Italy|Istituto Auxologico Italiano|IRCCS National Neurological Institute ""C. Mondino"" Foundation|University of Bari|IRCCS San Raffaele|University of Padova|University of Milan|Istituto Di Ricerche Farmacologiche Mario Negri|University of Campania ""Luigi Vanvitelli""|Catholic University of the Sacred Heart",All,Phase 2,54.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",Co-ALS,"January 30, 2019","November 1, 2020","November 1, 2020","October 3, 2018",,"January 14, 2019",,https://ClinicalTrials.gov/show/NCT03693781,18.0,80.0
